area_type,Available month,Available status,availability,location,Sizes,bath,balcony,price,Total_Sqft
Super built-up  Area,December,Scheduled dates,19-Dec,Electronic City Phase II,2 BHK,2,1,39.07,1056.00
Plot  Area, ,Ready To Move,Ready To Move,Chikka Tirupathi,4 BHK,5,3,120.00,2600.00
Built-up  Area, ,Ready To Move,Ready To Move,Uttarahalli,3 BHK,2,3,62.00,1440.00
Super built-up  Area, ,Ready To Move,Ready To Move,Lingadheeranahalli,3 BHK,3,1,95.00,1521.00
Super built-up  Area, ,Ready To Move,Ready To Move,Kothanur,2 BHK,2,1,51.00,1200.00
Super built-up  Area, ,Ready To Move,Ready To Move,Whitefield,2 BHK,2,1,38.00,1170.00
Super built-up  Area,May,Scheduled dates,18-May,Old Airport Road,4 BHK,4,Not Provided,204.00,2732.00
Super built-up  Area, ,Ready To Move,Ready To Move,Rajaji Nagar,4 BHK,4,Not Provided,600.00,3300.00
Super built-up  Area, ,Ready To Move,Ready To Move,Marathahalli,3 BHK,3,1,63.25,1310.00
Plot  Area, ,Ready To Move,Ready To Move,Gandhi Bazar,6 BHK,6,Not Provided,370.00,1020.00
Super built-up  Area,February,Scheduled dates,18-Feb,Whitefield,3 BHK,2,2,70.00,1800.00
Plot  Area, ,Ready To Move,Ready To Move,Whitefield,4 BHK,5,3,295.00,2785.00
Super built-up  Area, ,Ready To Move,Ready To Move,7th Phase JP Nagar,2 BHK,2,1,38.00,1000.00
Built-up  Area, ,Ready To Move,Ready To Move,Gottigere,2 BHK,2,2,40.00,1100.00
Plot  Area, ,Ready To Move,Ready To Move,Sarjapur,3 BHK,3,2,148.00,2250.00
Super built-up  Area, ,Ready To Move,Ready To Move,Mysore Road,2 BHK,2,2,73.50,1175.00
Super built-up  Area, ,Ready To Move,Ready To Move,Bisuvanahalli,3 BHK,3,2,48.00,1180.00
Super built-up  Area, ,Ready To Move,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,3,60.00,1540.00
Super built-up  Area, ,Ready To Move,Ready To Move,Ramakrishnappa Layout,3 BHK,4,2,290.00,2770.00
Super built-up  Area, ,Ready To Move,Ready To Move,Manayata Tech Park,2 BHK,2,2,48.00,1100.00
